reaction	reactant	product	type
R04598	C06047	C04796	kegg
R04599	C06047	C04796	kegg
R04600	C06048	C04797	kegg
R04601	C06048	C04797	kegg
R04776	C05338	C05595	kegg
R04777	C05338	C05596	kegg
R04880	C05576	C05577	kegg
R04881	C05576	C05594	kegg
R04882	C05577	C05580	kegg
R04883	C05577	C05580	kegg
R04884	C05578	C05579	kegg
R04887	C05580	C05584	kegg
R04888	C05581	C05582	kegg
R04889	C05581	C05582	kegg
R04890	C05587	C05581	kegg
R04891	C05583	C05584	kegg
R04892	C05583	C05584	kegg
R04893	C05589	C05583	kegg
R04894	C05588	C05583	kegg
R04894	C05588	C00218	kegg
R05083	C06044	C06046	kegg
R06897	C05600	C06201	kegg
R08846	C00355	C10447	kegg
R08848	C00822	C17935	kegg
R08848	C00097	C17935	kegg
R08920	C00355	C04045	kegg
R08965	C04185	C17938	kegg
R09254	C00082	C01179	kegg
R09254	C00082	C00041	kegg
R09830	C00082	C01179	kegg
R11916	C00355	C04043	kegg
R11917	C00082	C03765	kegg
R12611	C00082	C00355	kegg
R00228	C00084	C00024	kegg
R00688	C00079	C00166	kegg
R00689	C00079	C00166	kegg
R00690	C00079	C02505	kegg
R00692	C00079	C00166	kegg
R00692	C00079	C00041	kegg
R00693	C00079	C03519	kegg
R00694	C00079	C00166	kegg
R00697	C00079	C00423	kegg
R00698	C00079	C02505	kegg
R00699	C00079	C05332	kegg
R00750	C00084	C03589	kegg
R00829	C00091	C02232	kegg
R01370	C05607	C00166	kegg
R01371	C05607	C00166	kegg
R01372	C00166	C05852	kegg
R01377	C00166	C00601	kegg
R01378	C00166	C02763	kegg
R01424	C01586	C00180	kegg
R01426	C00180	C00423	kegg
R01795	C00272	C00268	kegg
R01795	C00272	C00082	kegg
R01795	C00079	C00268	kegg
R01795	C00079	C00082	kegg
R02252	C05629	C00423	kegg
R02254	C00423	C01772	kegg
R02450	C02137	C00512	kegg
R02452	C00512	C01586	kegg
R02536	C00601	C07086	kegg
R02537	C00601	C07086	kegg
R02539	C07086	C00582	kegg
R02540	C02505	C07086	kegg
R02576	C00582	C04148	kegg
R02601	C00596	C03589	kegg
R02603	C00596	C04479	kegg
R02611	C05853	C00601	kegg
R02612	C05332	C00601	kegg
R02613	C05332	C00601	kegg
R03369	C01198	C04044	kegg
R03614	C01575	C04351	kegg
R03709	C01198	C01772	kegg
R04376	C04044	C04479	kegg
R04899	C01198	C05629	kegg
R05001	C05852	C06207	kegg
R05487	C07086	C05852	kegg
R05841	C00582	C05598	kegg
R06780	C05629	C11457	kegg
R06781	C00423	C12621	kegg
R06782	C05629	C11588	kegg
R06783	C00423	C12622	kegg
R06784	C11588	C04044	kegg
R06785	C12622	C12623	kegg
R06786	C11457	C04044	kegg
R06787	C12621	C12623	kegg
R06788	C12623	C12624	kegg
R06789	C12624	C00596	kegg
R06789	C12624	C00122	kegg
R06790	C07086	C00642	kegg
R06791	C07086	C05593	kegg
R06941	C14145	C02232	kegg
R06942	C14144	C14145	kegg
R07222	C00582	C15524	kegg
R07294	C15524	C02137	kegg
R08464	C08301	C08300	kegg
R08838	C00180	C00805	kegg
R09088	C00180	C17268	kegg
R09089	C17268	C08301	kegg
R09820	C19946	C19945	kegg
R09836	C19975	C19946	kegg
R09837	C20062	C19975	kegg
R09838	C00582	C20062	kegg
R09839	C19945	C14144	kegg
R09840	C00582	C07086	kegg
R11918	C00079	C00601	kegg
R00812	C04091	C00090	kegg
R03543	C01407	C04091	kegg
R03891	C02814	C02222	kegg
R03893	C04431	C02222	kegg
R03982	C02575	C18933	kegg
R03982	C02575	C00698	kegg
R03997	C02625	C02933	kegg
R04258	C02375	C03585	kegg
R04259	C04522	C03585	kegg
R04500	C04522	C04431	kegg
R05236	C06603	C02222	kegg
R05243	C06599	C06600	kegg
R05246	C00530	C06603	kegg
R05267	C00530	C06601	kegg
R05267	C00127	C06601	kegg
R05269	C06600	C06601	kegg
R05269	C06600	C00127	kegg
R05287	C06755	C00160	kegg
R05355	C06329	C02222	kegg
R05355	C06329	C00698	kegg
R05369	C06597	C06598	kegg
R05370	C06598	C06599	kegg
R05387	C06596	C06597	kegg
R05388	C07102	C07103	kegg
R05390	C03585	C07090	kegg
R05397	C07093	C07094	kegg
R05399	C07103	C02814	kegg
R05402	C03434	C07099	kegg
R05402	C03434	C00127	kegg
R05403	C07099	C07097	kegg
R05403	C07099	C00127	kegg
R05406	C02375	C07089	kegg
R05407	C02933	C03918	kegg
R05408	C07097	C06329	kegg
R05409	C07094	C07095	kegg
R05418	C07100	C07101	kegg
R05418	C07100	C00048	kegg
R05419	C03664	C02625	kegg
R05419	C03664	C00048	kegg
R05429	C07092	C07093	kegg
R05441	C02124	C02375	kegg
R05445	C07097	C06328	kegg
R05446	C06600	C21105	kegg
R05446	C06600	C00698	kegg
R05447	C07101	C21104	kegg
R05447	C07101	C00698	kegg
R05448	C07096	C07097	kegg
R05449	C07098	C21103	kegg
R05449	C07098	C00698	kegg
R05483	C06594	C06597	kegg
R05484	C06598	C06602	kegg
R05493	C07088	C02124	kegg
R05493	C07088	C00048	kegg
R05504	C07089	C00682	kegg
R05504	C07089	C00698	kegg
R05505	C03664	C07088	kegg
R05505	C03664	C00698	kegg
R05510	C07090	C07091	kegg
R05511	C04706	C06329	kegg
R05533	C06988	C06989	kegg
R05533	C06988	C00698	kegg
R05534	C06989	C11352	kegg
R05534	C06989	C00698	kegg
R05535	C11352	C06990	kegg
R05535	C11352	C00698	kegg
R05536	C11352	C01407	kegg
R05536	C11352	C00698	kegg
R06833	C12831	C12833	kegg
R06834	C12833	C12834	kegg
R06835	C12834	C12835	kegg
R06839	C05618	C03572	kegg
R06848	C12835	C12836	kegg
R06849	C06594	C07092	kegg
R06850	C07092	C06990	kegg
R06851	C00530	C02814	kegg
R06855	C12836	C06755	kegg
R06856	C06990	C12837	kegg
R06857	C12837	C05618	kegg
R07669	C06988	C16181	kegg
R07793	C14450	C02375	kegg
R07794	C14419	C14450	kegg
R07827	C05618	C16266	kegg
R09130	C18236	C18238	kegg
R09131	C18236	C18238	kegg
R09132	C18238	C18240	kegg
R09133	C18238	C18240	kegg
R09134	C18240	C18241	kegg
R09135	C18241	C18242	kegg
R09136	C18242	C18243	kegg
R09137	C18243	C18244	kegg
R09138	C18243	C18244	kegg
R09139	C18244	C00011	kegg
R10042	C01407	C00146	kegg
R10043	C00146	C00090	kegg
R11091	C21103	C07097	kegg
R11092	C21104	C06600	kegg
R11093	C21105	C07102	kegg
R11585	C03434	C18933	kegg
R00008	C06033	C00022	kegg
R00350	C04115	C00036	kegg
R00813	C06321	C00090	kegg
R00816	C00090	C00682	kegg
R00817	C00090	C02480	kegg
R00821	C00196	C00090	kegg
R00822	C00230	C00090	kegg
R01295	C00180	C00156	kegg
R01296	C00156	C00230	kegg
R01297	C00156	C00530	kegg
R01298	C00156	C00230	kegg
R01299	C00156	C00530	kegg
R01300	C00156	C02949	kegg
R01306	C02519	C00156	kegg
R01422	C00180	C00512	kegg
R01427	C00180	C00587	kegg
R01507	C00196	C04480	kegg
R01508	C00587	C00196	kegg
R01628	C00587	C00230	kegg
R01629	C00230	C02814	kegg
R01630	C00230	C02814	kegg
R01631	C00230	C01163	kegg
R01632	C00230	C04484	kegg
R01976	C01144	C00332	kegg
R02451	C00512	C06322	kegg
R02589	C00587	C00628	kegg
R02602	C03453	C00596	kegg
R02604	C00596	C00682	kegg
R02762	C00682	C02501	kegg
R02763	C00682	C04480	kegg
R02988	C00846	C02222	kegg
R02989	C00846	C02222	kegg
R02990	C00091	C02232	kegg
R02990	C00846	C02232	kegg
R02991	C03586	C00846	kegg
R03028	C02411	C00877	kegg
R03307	C01278	C01163	kegg
R03308	C04553	C01163	kegg
R03470	C01278	C03586	kegg
R03892	C02222	C03676	kegg
R03966	C02501	C03453	kegg
R04061	C02814	C03676	kegg
R04223	C03453	C03589	kegg
R04277	C03671	C04434	kegg
R04278	C05375	C03671	kegg
R04279	C05375	C03671	kegg
R04478	C04115	C04434	kegg
R04488	C04484	C06035	kegg
R04489	C05375	C04484	kegg
R05078	C06033	C06035	kegg
R05156	C06333	C06336	kegg
R05249	C01751	C02814	kegg
R05305	C06714	C06715	kegg
R05311	C01063	C06723	kegg
R05316	C02949	C00512	kegg
R05579	C00527	C02411	kegg
R05581	C06749	C09821	kegg
R05582	C09812	C09813	kegg
R05586	C06715	C00527	kegg
R05592	C09813	C01063	kegg
R05594	C09821	C06714	kegg
R05597	C06322	C06749	kegg
R05600	C09811	C09812	kegg
R05601	C06723	C06714	kegg
R05609	C06322	C09809	kegg
R05610	C06322	C09810	kegg
R05619	C09823	C09811	kegg
R05620	C09822	C09823	kegg
R05621	C00180	C06321	kegg
R05622	C00180	C06321	kegg
R06989	C02480	C14610	kegg
R06990	C14610	C03586	kegg
R07795	C06336	C02501	kegg
R07795	C06336	C00094	kegg
R07839	C04434	C04324	kegg
R09252	C09811	C06322	kegg
R09554	C19683	C19682	kegg
R09555	C00512	C19684	kegg
R09556	C19684	C19683	kegg
R10601	C09823	C09811	kegg
R10961	C00512	C06322	kegg
R11347	C01751	C02814	kegg
R11348	C01751	C02814	kegg
R11353	C21298	C01751	kegg
R11769	C19682	C14144	kegg
R01305	C13635	C00156	kegg
R06876	C13620	C13621	kegg
R06877	C13621	C13622	kegg
R06878	C13622	C13623	kegg
R06879	C13623	C13624	kegg
R06880	C13624	C13625	kegg
R06881	C13624	C13626	kegg
R06882	C13626	C13628	kegg
R06883	C13624	C13629	kegg
R06884	C13624	C13631	kegg
R06885	C13629	C13632	kegg
R06886	C13632	C00633	kegg
R06886	C13632	C10700	kegg
R06887	C13631	C13633	kegg
R06888	C13631	C13634	kegg
R06889	C13634	C13635	kegg
R06889	C13634	C00156	kegg
R06890	C13637	C13638	kegg
R06891	C13638	C10700	kegg
R09102	C14298	C18215	kegg
R09103	C18215	C14220	kegg
R09104	C14220	C18216	kegg
R09105	C18216	C00156	kegg
R09105	C18216	C00530	kegg
R01033	C02357	C00698	kegg
R01033	C02357	C00090	kegg
R03932	C02370	C06387	kegg
R04101	C06387	C02949	kegg
R04101	C06387	C00698	kegg
R04349	C04178	C03925	kegg
R05276	C06387	C06671	kegg
R05451	C06670	C06671	kegg
R07779	C04178	C16248	kegg
R07779	C04178	C01326	kegg
R07780	C04178	C16246	kegg
R07781	C16249	C02222	kegg
R07781	C16249	C01324	kegg
R07782	C16246	C03925	kegg
R07783	C03925	C16247	kegg
R07784	C16247	C16248	kegg
R07785	C16248	C16249	kegg
R08100	C02359	C16482	kegg
R08101	C02359	C16481	kegg
R08103	C11272	C16483	kegg
R08104	C11272	C16484	kegg
R08105	C16483	C16473	kegg
R08106	C16484	C00090	kegg
R08108	C02364	C16478	kegg
R08109	C02364	C16479	kegg
R08110	C02371	C16480	kegg
R08111	C16478	C16472	kegg
R08112	C16479	C16473	kegg
R08113	C16480	C16473	kegg
R08114	C16472	C16475	kegg
R08115	C16473	C16474	kegg
R08116	C16474	C16476	kegg
R08117	C02371	C02802	kegg
R08118	C02802	C02949	kegg
R08119	C16475	C16477	kegg
R08120	C16477	C02222	kegg
R08121	C16476	C02222	kegg
R08122	C16482	C00090	kegg
R08123	C16481	C16472	kegg
R02986	C01546	C00845	kegg
R02987	C00845	C03724	kegg
R10210	C20447	C00026	kegg
R10211	C03724	C20447	kegg
R10212	C14279	C01546	kegg
R10213	C20450	C01546	kegg
R10217	C14279	C20441	kegg
R10218	C11101	C20443	kegg
R10858	C11101	C20450	kegg
R00074	C01987	C02161	kegg
R00673	C00078	C00463	kegg
R00677	C00078	C00331	kegg
R00678	C00078	C02700	kegg
R00679	C00078	C02693	kegg
R00681	C00078	C03230	kegg
R00684	C00078	C00331	kegg
R00685	C00078	C00398	kegg
R00983	C02775	C00108	kegg
R00987	C00328	C00108	kegg
R00987	C00328	C00041	kegg
R00988	C05653	C00108	kegg
R00991	C00108	C05835	kegg
R01814	C00272	C00643	kegg
R01814	C00272	C00268	kegg
R01814	C00078	C00643	kegg
R01814	C00078	C00268	kegg
R01937	C00322	C02220	kegg
R01938	C00322	C02220	kegg
R01956	C00328	C01252	kegg
R01959	C02700	C00328	kegg
R01960	C00328	C03227	kegg
R01973	C00331	C05644	kegg
R01974	C00331	C00637	kegg
R02173	C00398	C00637	kegg
R02174	C00398	C06213	kegg
R02338	C00463	C03574	kegg
R02339	C00463	C05658	kegg
R02665	C00632	C04409	kegg
R02668	C03227	C00632	kegg
R02668	C03227	C00041	kegg
R02669	C00632	C01987	kegg
R02670	C00632	C05640	kegg
R02670	C00632	C00704	kegg
R02671	C00632	C05831	kegg
R02678	C00637	C00954	kegg
R02679	C00955	C00637	kegg
R02680	C00955	C00637	kegg
R02681	C00637	C00954	kegg
R02700	C00643	C05646	kegg
R02701	C00643	C00780	kegg
R02702	C00643	C05648	kegg
R02908	C00780	C05634	kegg
R02909	C00780	C05647	kegg
R02910	C00780	C06212	kegg
R02911	C00780	C00978	kegg
R02912	C00780	C05659	kegg
R02912	C00780	C00101	kegg
R02912	C00440	C05659	kegg
R02912	C00440	C00101	kegg
R03092	C00954	C05834	kegg
R03093	C02938	C00954	kegg
R03096	C02693	C00954	kegg
R03097	C00954	C05835	kegg
R03130	C00978	C01598	kegg
R03251	C01249	C01111	kegg
R03253	C01111	C05641	kegg
R03439	C01717	C01249	kegg
R03440	C01717	C01249	kegg
R03445	C01252	C01717	kegg
R03628	C01598	C05642	kegg
R03629	C01598	C05643	kegg
R03873	C02172	C02298	kegg
R03887	C02220	C03453	kegg
R03889	C03824	C02220	kegg
R03911	C02298	C05658	kegg
R03936	C02700	C05653	kegg
R03936	C02700	C00041	kegg
R03954	C02470	C05645	kegg
R03955	C02470	C05830	kegg
R04020	C02693	C02938	kegg
R04093	C02937	C02938	kegg
R04094	C05837	C02938	kegg
R04094	C05837	C00031	kegg
R04094	C05837	C00059	kegg
R04094	C05837	C00087	kegg
R04171	C03227	C05645	kegg
R04172	C03227	C05636	kegg
R04293	C03722	C04409	kegg
R04323	C04409	C03824	kegg
R04903	C05634	C05635	kegg
R04904	C05634	C05635	kegg
R04905	C05635	C05660	kegg
R04906	C05635	C05832	kegg
R04907	C05636	C05637	kegg
R04908	C05638	C05639	kegg
R04909	C05638	C05651	kegg
R04910	C05641	C05656	kegg
R04911	C05648	C05651	kegg
R04913	C05651	C05652	kegg
R04914	C05652	C05663	kegg
R04916	C05654	C05655	kegg
R04917	C05654	C05655	kegg
R04918	C05654	C05656	kegg
R08160	C00078	C02937	kegg
R08164	C16516	C16517	kegg
R08167	C16517	C05837	kegg
R08167	C16517	C00054	kegg
R08167	C00053	C05837	kegg
R08167	C00053	C00054	kegg
R08168	C02937	C16518	kegg
R08168	C00097	C16518	kegg
R08170	C16518	C16516	kegg
R08604	C00398	C17203	kegg
R08605	C17203	C02937	kegg
R08606	C02937	C00637	kegg
R08609	C00463	C00954	kegg
R09517	C00108	C00632	kegg
R10180	C00078	C00331	kegg
R10180	C00078	C00041	kegg
R10181	C00331	C00954	kegg
R11022	C03824	C10164	kegg
R12303	C00954	C08313	kegg
R12659	C00398	C00780	kegg
R00674	C00065	C00078	kegg
R00674	C00463	C00078	kegg
R00691	C00826	C00079	kegg
R00732	C00826	C00082	kegg
R00733	C00826	C00082	kegg
R00985	C00251	C00108	kegg
R00986	C00251	C00108	kegg
R01073	C04302	C00108	kegg
R01073	C04302	C00119	kegg
R01373	C00254	C00166	kegg
R01714	C01269	C00251	kegg
R01715	C00251	C00254	kegg
R01728	C00254	C01179	kegg
R01730	C00254	C01179	kegg
R01731	C00036	C00049	kegg
R01731	C00036	C00254	kegg
R01731	C00826	C00049	kegg
R01731	C00826	C00254	kegg
R01826	C00074	C04691	kegg
R01826	C00279	C04691	kegg
R01872	C00296	C00944	kegg
R01873	C00296	C01359	kegg
R01873	C00296	C00944	kegg
R01873	C00113	C01359	kegg
R01873	C00113	C00944	kegg
R02340	C03506	C00463	kegg
R02340	C03506	C00118	kegg
R02412	C00493	C03175	kegg
R02413	C00493	C02637	kegg
R02415	C00493	C02637	kegg
R02415	C00493	C01359	kegg
R02415	C00113	C02637	kegg
R02415	C00113	C01359	kegg
R03083	C04691	C00944	kegg
R03084	C00944	C02637	kegg
R03460	C00074	C01269	kegg
R03460	C03175	C01269	kegg
R03508	C01302	C03506	kegg
R03509	C04302	C01302	kegg
R06846	C00296	C00944	kegg
R06847	C00493	C02637	kegg
R07276	C00826	C00254	kegg
R08568	C00441	C16850	kegg
R08568	C00441	C16849	kegg
R08569	C16850	C00944	kegg
R10049	C00546	C00118	kegg
R10049	C00354	C00118	kegg
R10050	C00546	C00577	kegg
R10050	C01094	C00577	kegg
R10500	C00166	C20653	kegg
R10501	C20653	C20654	kegg
R10502	C20654	C20327	kegg
R10503	C20327	C17235	kegg
R10583	C00251	C20710	kegg
R10597	C00251	C00587	kegg
R06757	C01179	C12456	kegg
R06757	C00235	C12456	kegg
R06758	C12456	C12457	kegg
R06759	C12457	C12458	kegg
R06762	C12456	C12459	kegg
R06763	C12459	C12458	kegg
R06766	C12468	C12469	kegg
R06770	C12474	C12475	kegg
R06770	C12481	C12475	kegg
R06771	C12475	C12476	kegg
R06772	C12476	C05080	kegg
R06772	C00169	C05080	kegg
R06773	C12471	C12472	kegg
R06773	C12481	C12472	kegg
R06774	C12472	C12473	kegg
R06775	C12473	C12032	kegg
R06776	C12469	C12471	kegg
R06776	C12458	C12471	kegg
R06777	C12477	C20637	kegg
R06777	C12468	C20637	kegg
R10453	C12458	C20629	kegg
R10453	C12468	C20629	kegg
R10454	C20629	C12474	kegg
R07403	C00463	C12312	kegg
R07421	C12312	C11130	kegg
R07426	C15770	C15772	kegg
R08972	C15772	C18062	kegg
R08973	C18062	C04831	kegg
R10349	C00353	C20525	kegg
R10349	C00353	C00118	kegg
R10349	C03506	C20525	kegg
R10349	C03506	C00118	kegg
R10350	C20525	C20526	kegg
R10351	C20527	C20529	kegg
R10352	C20526	C20527	kegg
R10353	C20529	C20530	kegg
R10356	C20587	C20534	kegg
R10357	C20534	C20535	kegg
R10358	C20535	C20531	kegg
R10359	C20531	C13782	kegg
R10360	C13782	C20561	kegg
R10360	C00235	C20561	kegg
R10361	C20531	C20553	kegg
R10362	C20553	C20554	kegg
R10365	C20554	C20555	kegg
R10365	C00235	C20555	kegg
R10366	C20542	C20543	kegg
R10367	C20532	C20548	kegg
R10368	C20550	C20551	kegg
R10369	C20543	C20532	kegg
R10369	C00235	C20532	kegg
R10370	C20548	C20550	kegg
R10370	C00235	C20550	kegg
R10371	C20530	C20587	kegg
R10372	C20587	C20586	kegg
R10373	C20530	C20536	kegg
R10376	C20536	C20542	kegg
R10379	C20534	C20543	kegg
R10380	C20543	C20545	kegg
R10380	C00235	C20545	kegg
R10381	C20545	C20546	kegg
R10382	C20546	C20552	kegg
R10383	C20546	C20595	kegg
R10383	C00235	C20595	kegg
R10384	C20545	C20594	kegg
R10384	C00235	C20594	kegg
R10405	C20536	C20586	kegg
R10406	C20586	C20528	kegg
R10410	C20593	C13782	kegg
R10566	C20593	C20596	kegg
R10569	C20593	C20601	kegg
R10570	C20534	C20528	kegg
R10571	C20528	C20542	kegg
R10692	C20594	C20550	kegg
R10694	C20595	C20551	kegg
R05757	C07349	C02079	kegg
R09560	C19687	C19688	kegg
R09566	C19688	C19698	kegg
R09567	C19698	C19699	kegg
R09568	C19700	C19699	kegg
R09569	C19700	C19701	kegg
R09570	C00078	C19687	kegg
R09570	C00698	C19687	kegg
R10321	C20512	C20513	kegg
R10340	C00235	C20512	kegg
R10340	C20563	C20512	kegg
R10341	C00235	C20564	kegg
R10341	C20045	C20564	kegg
R10414	C20604	C20605	kegg
R10416	C20607	C20604	kegg
R10445	C20630	C20045	kegg
R10457	C00235	C20630	kegg
R10457	C20605	C20630	kegg
R10588	C20513	C20607	kegg
R10661	C00078	C20563	kegg
R10661	C00148	C20563	kegg
R11105	C19687	C21110	kegg
R11106	C21110	C21109	kegg
R11106	C00698	C21109	kegg
R11107	C21109	C12491	kegg
R11119	C00078	C21124	kegg
R11120	C21124	C21125	kegg
R11121	C21125	C21126	kegg
R11122	C21126	C21127	kegg
R11123	C21127	C21128	kegg
R11129	C21128	C07349	kegg
R11131	C21124	C21131	kegg
R11132	C21131	C21132	kegg
R11133	C21132	C21133	kegg
R11134	C21131	C21134	kegg
R11135	C21134	C21135	kegg
R11136	C21135	C21136	kegg
R11158	C21131	C21134	kegg
R11373	C21134	C21135	kegg
R11374	C21131	C21132	kegg
R00982	C00108	C02247	kegg
R08956	C18054	C00251	kegg
R09707	C19830	C19831	kegg
R10467	C20643	C11848	kegg
R10966	C00235	C20982	kegg
R10966	C20981	C20982	kegg
R11346	C21295	C01748	kegg
R11463	C18054	C19830	kegg
R11489	C21408	C21409	kegg
R11490	C21409	C21410	kegg
R11491	C21411	C21412	kegg
R11492	C21413	C20981	kegg
R11533	C21442	C21295	kegg
R11542	C21452	C21453	kegg
R11568	C19831	C21473	kegg
R11569	C21473	C21408	kegg
R11570	C21408	C21411	kegg
R11571	C21411	C21413	kegg
R11572	C21413	C21475	kegg
R11573	C21475	C21476	kegg
R11574	C21410	C21474	kegg
R11575	C21474	C12119	kegg
R11576	C21412	C20981	kegg
R11577	C20981	C21442	kegg
R11578	C21442	C21477	kegg
R11589	C21453	C21490	kegg
R11590	C21490	C20643	kegg
R00233	C00083	C00024	kegg
R00489	C00049	C00099	kegg
R00705	C00222	C00024	kegg
R00706	C00222	C00024	kegg
R00743	C00383	C00033	kegg
R00904	C05665	C00099	kegg
R00907	C00041	C00099	kegg
R00907	C00222	C00099	kegg
R00908	C00099	C00222	kegg
R00909	C01073	C00099	kegg
R00910	C00047	C05341	kegg
R00910	C00099	C05341	kegg
R00911	C05341	C00099	kegg
R00911	C05341	C00047	kegg
R00912	C00062	C05340	kegg
R00912	C00099	C05340	kegg
R01604	C00222	C00383	kegg
R01607	C00222	C00383	kegg
R01608	C01013	C00222	kegg
R01611	C00222	C00804	kegg
R02473	C00522	C00864	kegg
R02473	C00099	C00864	kegg
R03045	C05668	C00894	kegg
R03046	C02335	C00894	kegg
R03139	C00986	C05665	kegg
R03158	C01013	C05668	kegg
R03935	C05340	C00099	kegg
R04432	C00100	C00894	kegg
R09379	C18911	C03492	kegg
R09379	C00099	C03492	kegg
R12356	C00100	C00894	kegg
R00230	C00024	C00227	kegg
R00315	C00033	C00227	kegg
R01681	C00519	C00245	kegg
R01682	C00506	C00245	kegg
R01684	C00245	C00593	kegg
R01685	C00245	C00593	kegg
R01686	C00245	C01959	kegg
R01686	C00245	C00077	kegg
R01686	C00062	C01959	kegg
R01686	C00062	C00077	kegg
R01687	C00245	C05844	kegg
R02434	C00506	C00606	kegg
R02466	C00606	C00519	kegg
R02467	C01678	C00519	kegg
R02600	C00593	C05123	kegg
R03785	C01959	C03149	kegg
R05320	C00245	C00094	kegg
R05320	C00245	C06735	kegg
R05651	C00593	C00227	kegg
R05651	C00593	C00094	kegg
R05652	C00245	C00593	kegg
R05652	C00245	C00041	kegg
R06980	C00593	C14179	kegg
R06981	C05123	C00593	kegg
R12763	C05123	C00084	kegg
R12763	C05123	C00094	kegg
R00318	C05682	C00033	kegg
R00661	C00074	C02798	kegg
R00747	C03167	C00084	kegg
R02590	C00063	C05674	kegg
R02590	C06459	C05674	kegg
R02592	C05680	C06459	kegg
R04051	C02798	C05672	kegg
R04053	C02798	C03167	kegg
R04152	C03557	C03167	kegg
R04152	C03557	C00041	kegg
R04247	C00063	C05673	kegg
R04247	C03557	C05673	kegg
R04250	C03557	C05679	kegg
R04251	C03167	C05682	kegg
R04252	C03557	C05683	kegg
R04920	C05673	C00055	kegg
R04921	C05673	C00055	kegg
R04922	C05674	C00055	kegg
R04925	C05679	C05680	kegg
R05165	C06367	C06368	kegg
R08200	C02798	C00022	kegg
R08861	C03167	C06451	kegg
R08864	C06451	C06455	kegg
R08865	C06455	C17943	kegg
R08866	C17943	C06456	kegg
R08867	C06456	C17945	kegg
R08867	C00063	C17945	kegg
R08870	C06368	C17947	kegg
R08871	C17962	C17949	kegg
R08873	C17949	C17952	kegg
R08873	C17949	C05198	kegg
R08874	C17952	C04650	kegg
R08876	C17951	C06457	kegg
R08877	C17948	C17962	kegg
R08881	C21613	C17941	kegg
R08882	C17941	C17942	kegg
R08883	C03167	C17940	kegg
R08884	C03167	C17944	kegg
R08885	C03167	C17960	kegg
R08886	C03167	C17961	kegg
R08887	C17945	C06367	kegg
R08887	C17945	C00055	kegg
R08887	C00197	C06367	kegg
R08887	C00197	C00055	kegg
R08888	C21372	C17948	kegg
R08938	C04650	C17952	kegg
R09478	C06451	C03167	kegg
R10185	C20396	C20422	kegg
R10185	C20396	C00147	kegg
R10186	C20422	C20423	kegg
R10191	C06451	C20396	kegg
R10191	C06451	C00288	kegg
R10204	C20423	C20440	kegg
R10204	C20423	C01438	kegg
R10204	C20423	C05198	kegg
R10205	C20440	C01151	kegg
R10722	C05678	C00037	kegg
R10724	C03557	C05678	kegg
R10972	C20440	C20986	kegg
R10973	C20986	C00117	kegg
R11408	C17947	C21372	kegg
R11479	C03557	C21403	kegg
R11480	C21403	C21404	kegg
R11481	C06457	C04650	kegg
R11708	C02798	C21613	kegg
R12451	C06455	C00058	kegg
R12452	C20396	C06455	kegg
R03595	C01528	C05172	kegg
R03596	C01528	C05684	kegg
R03599	C05688	C01528	kegg
R03599	C05688	C00041	kegg
R04770	C05335	C05703	kegg
R04770	C05335	C00109	kegg
R04772	C05335	C05690	kegg
R04929	C05697	C05686	kegg
R04931	C05688	C05689	kegg
R04941	C05699	C05698	kegg
R04944	C05688	C05699	kegg
R04946	C01118	C05699	kegg
R04946	C05688	C05699	kegg
R07229	C05684	C05697	kegg
R09365	C05698	C05335	kegg
R09365	C05698	C04144	kegg
R09365	C04489	C05335	kegg
R09365	C04489	C04144	kegg
R09366	C05689	C05703	kegg
R09367	C05684	C18870	kegg
R09367	C05684	C00127	kegg
R09368	C18870	C18871	kegg
R09368	C18870	C00127	kegg
R09369	C05703	C02535	kegg
R09370	C02535	C18872	kegg
R09371	C01528	C05703	kegg
R09372	C18902	C05703	kegg
R09373	C05689	C18904	kegg
R09373	C01180	C18904	kegg
R00152	C01326	C00058	kegg
R00486	C02512	C00049	kegg
R00524	C00488	C00058	kegg
R00730	C00082	C03004	kegg
R01267	C00152	C02512	kegg
R01408	C00488	C01326	kegg
R01410	C01326	C05714	kegg
R01410	C00084	C05714	kegg
R01553	C02659	C01326	kegg
R01553	C02659	C00207	kegg
R01650	C00232	C05715	kegg
R01650	C01326	C05715	kegg
R01767	C00561	C01326	kegg
R01767	C00561	C00261	kegg
R02558	C00844	C00561	kegg
R02558	C00844	C00031	kegg
R02676	C03742	C01326	kegg
R02676	C03742	C00633	kegg
R02985	C00844	C08325	kegg
R02985	C00031	C08325	kegg
R03524	C00097	C02512	kegg
R03524	C01326	C02512	kegg
R03625	C02659	C01594	kegg
R03970	C02512	C05711	kegg
R03971	C05670	C06114	kegg
R04296	C03742	C05143	kegg
R04460	C03004	C15503	kegg
R05704	C00037	C01326	kegg
R05728	C04350	C03742	kegg
R06614	C02512	C05670	kegg
R07190	C15503	C04350	kegg
R09358	C18796	C02845	kegg
R09358	C18796	C01326	kegg
R09579	C00079	C19712	kegg
R09580	C19712	C19715	kegg
R09581	C19715	C19714	kegg
R10027	C00407	C20310	kegg
R10028	C20310	C20311	kegg
R10029	C20311	C19491	kegg
R10031	C00183	C20313	kegg
R10032	C20313	C20314	kegg
R10033	C20314	C03219	kegg
R10035	C05143	C03742	kegg
R10037	C18796	C08334	kegg
R10039	C08334	C18796	kegg
R10040	C01594	C02659	kegg
R10638	C00561	C00844	kegg
R10639	C00844	C08325	kegg
