reaction	reactant	product	type
R02715	C00652	C06316	kegg
R02752	C00818	C00679	kegg
R02754	C00679	C01146	kegg
R02957	C02670	C00818	kegg
R03183	C01040	C02670	kegg
R03184	C01040	C03289	kegg
R03185	C01041	C05422	kegg
R03186	C01041	C05422	kegg
R03186	C01041	C00072	kegg
R03733	C01620	C03064	kegg
R04785	C05422	C04575	kegg
R07671	C00072	C16186	kegg
R07677	C16186	C14899	kegg
R07679	C00072	C05422	kegg
R08615	C00167	C00191	kegg
R09540	C00072	C01041	kegg
R10846	C20889	C20896	kegg
R10847	C20896	C00679	kegg
R00742	C00288	C00083	kegg
R01280	C00249	C00154	kegg
R12300	C00383	C00083	kegg
R01177	C00136	C05269	kegg
R01274	C00154	C00249	kegg
R01278	C00154	C05272	kegg
R03776	C01944	C05276	kegg
R03778	C01944	C05265	kegg
R03856	C01832	C03221	kegg
R03858	C01832	C05261	kegg
R03989	C02593	C05273	kegg
R03991	C02593	C05259	kegg
R04170	C05262	C03221	kegg
R04737	C05258	C05259	kegg
R04738	C05258	C05272	kegg
R04739	C05260	C05261	kegg
R04740	C05260	C05273	kegg
R04741	C05262	C05263	kegg
R04742	C05274	C05263	kegg
R04743	C05264	C05265	kegg
R04744	C05264	C05275	kegg
R04745	C05266	C05267	kegg
R04746	C05266	C05276	kegg
R04747	C05270	C05267	kegg
R04748	C05268	C05269	kegg
R04749	C05268	C05271	kegg
R04753	C05274	C05275	kegg
R06985	C05271	C05270	kegg
R00238	C00024	C00332	kegg
R01175	C00136	C00877	kegg
R01279	C00154	C05272	kegg
R01704	C00517	C00249	kegg
R01923	C00154	C02990	kegg
R01923	C00318	C02990	kegg
R01975	C01144	C00332	kegg
R02402	C00489	C00527	kegg
R02462	C00823	C00517	kegg
R02487	C00527	C00877	kegg
R03026	C01144	C00877	kegg
R03777	C01944	C05276	kegg
R03857	C01832	C03221	kegg
R03990	C02593	C05273	kegg
R04751	C05270	C05271	kegg
R04754	C05274	C05275	kegg
R04756	C05280	C05279	kegg
R09106	C00406	C18217	kegg
R09106	C18218	C18217	kegg
R09448	C18218	C19614	kegg
R09451	C00249	C18218	kegg
R09452	C00712	C19616	kegg
R09453	C19418	C19620	kegg
R09454	C08281	C19623	kegg
R09455	C19616	C19617	kegg
R09456	C19623	C19624	kegg
R09457	C19614	C19615	kegg
R09458	C19617	C19618	kegg
R09459	C19624	C19625	kegg
R09460	C18218	C08285	kegg
R09461	C19622	C19621	kegg
R09462	C00712	C19418	kegg
R09463	C19616	C19620	kegg
R09464	C19620	C19621	kegg
R09465	C19418	C19622	kegg
R00702	C00448	C03428	kegg
R01451	C00187	C01164	kegg
R01456	C00187	C01164	kegg
R01457	C00187	C01802	kegg
R02872	C03428	C00751	kegg
R02874	C00751	C01054	kegg
R03199	C01054	C01724	kegg
R03200	C01054	C01902	kegg
R03311	C01164	C05443	kegg
R03353	C01189	C03845	kegg
R03610	C01561	C01673	kegg
R03611	C01561	C05443	kegg
R03677	C01694	C05441	kegg
R03689	C01724	C05109	kegg
R03724	C01802	C05107	kegg
R03775	C02141	C01943	kegg
R04427	C05437	C04525	kegg
R04667	C05107	C05439	kegg
R04804	C05437	C05439	kegg
R05639	C05108	C11455	kegg
R05640	C01724	C11455	kegg
R05641	C01694	C05440	kegg
R05703	C01189	C05439	kegg
R05731	C01943	C11508	kegg
R05776	C11522	C11523	kegg
R07215	C01189	C01164	kegg
R07481	C01902	C08830	kegg
R07483	C11508	C15776	kegg
R07484	C15776	C11522	kegg
R07489	C01753	C05442	kegg
R07493	C15781	C01789	kegg
R07494	C15808	C15816	kegg
R07495	C15816	C05103	kegg
R07497	C04525	C15777	kegg
R07498	C05437	C03845	kegg
R07499	C05108	C15915	kegg
R07505	C15777	C15778	kegg
R07506	C15778	C05440	kegg
R07507	C05107	C01164	kegg
R07509	C05108	C15808	kegg
R09515	C01673	C18231	kegg
R09516	C01561	C07712	kegg
R11458	C05443	C01561	kegg
R11459	C01561	C01673	kegg
R12323	C01724	C11455	kegg
R12355	C00751	C01054	kegg
R01463	C00187	C03594	kegg
R02794	C00695	C01794	kegg
R02797	C05122	C00695	kegg
R02797	C05122	C00245	kegg
R03718	C01794	C01921	kegg
R03719	C00100	C05467	kegg
R03719	C01794	C05467	kegg
R03720	C01794	C05122	kegg
R03720	C00245	C05122	kegg
R03974	C02528	C05337	kegg
R03975	C05466	C02528	kegg
R03977	C05465	C02528	kegg
R03977	C05465	C00245	kegg
R04263	C03594	C05455	kegg
R04806	C05452	C05444	kegg
R04807	C05454	C05446	kegg
R04808	C05446	C05468	kegg
R04809	C05447	C05448	kegg
R04810	C05448	C05449	kegg
R04811	C00100	C05449	kegg
R04811	C05337	C05449	kegg
R04812	C15614	C05467	kegg
R04813	C15614	C05460	kegg
R04817	C05451	C05455	kegg
R04818	C05452	C05451	kegg
R04819	C05452	C05451	kegg
R04823	C05453	C17339	kegg
R04824	C05454	C05453	kegg
R04825	C05454	C05453	kegg
R04826	C05455	C17339	kegg
R05835	C01921	C00695	kegg
R07204	C05452	C05454	kegg
R07207	C00187	C13550	kegg
R07208	C13550	C15518	kegg
R07209	C15519	C15520	kegg
R07218	C00187	C15519	kegg
R07296	C01794	C00695	kegg
R07372	C15610	C06341	kegg
R08505	C00187	C15610	kegg
R08721	C15518	C17331	kegg
R08723	C15520	C17332	kegg
R08724	C06341	C17336	kegg
R08725	C17336	C17337	kegg
R08726	C15610	C17333	kegg
R08727	C17333	C17335	kegg
R08728	C17335	C17337	kegg
R08733	C04722	C15613	kegg
R08738	C04554	C17345	kegg
R08743	C05337	C02528	kegg
R08744	C05337	C05466	kegg
R08745	C05337	C05465	kegg
R08745	C00245	C05465	kegg
R08758	C05444	C05445	kegg
R08759	C05446	C01301	kegg
R08760	C05445	C04554	kegg
R08761	C01301	C04722	kegg
R00734	C00082	C01179	kegg
R01301	C02949	C00156	kegg
R01302	C00156	C00251	kegg
R01304	C00156	C03993	kegg
R01616	C00811	C00223	kegg
R01717	C00251	C00885	kegg
R02253	C00423	C00811	kegg
R02521	C01179	C00544	kegg
R03337	C03964	C01179	kegg
R03339	C03964	C01179	kegg
R03511	C02059	C05849	kegg
R03511	C02059	C00265	kegg
R03511	C01119	C05849	kegg
R03511	C01119	C00265	kegg
R03816	C02059	C03313	kegg
R04030	C02730	C03160	kegg
R04031	C02730	C05817	kegg
R04994	C21084	C03313	kegg
R05144	C05849	C03313	kegg
R05454	C02730	C06986	kegg
R05455	C03160	C06986	kegg
R07236	C02483	C02477	kegg
R07262	C15547	C03657	kegg
R07263	C03160	C15547	kegg
R07500	C05427	C15882	kegg
R07500	C00544	C15882	kegg
R07501	C15882	C15883	kegg
